#,Title,URL,State,Labels,# of Labels,Assignees,# of Assignees,# of Comments,Closed at,Created at,Locked
1947,ninja should optionally remove outputs before building,https://github.com/ninja-build/ninja/issues/1947,open,"[Label(name=""feature"")]",1,[],0,1,,2021-04-07 04:50:20,False
1946,Build outputs modified after the build outside of ninja are not rebuilt,https://github.com/ninja-build/ninja/issues/1946,open,[],0,[],0,0,,2021-03-30 06:38:06,False
1942,It's difficult for users to figure out how to install to a custom path,https://github.com/ninja-build/ninja/issues/1942,closed,[],0,[],0,3,2021-03-28 10:30:20,2021-03-26 13:07:26,False
1940,restat needlessly rebuilding outputs,https://github.com/ninja-build/ninja/issues/1940,open,[],0,[],0,2,,2021-03-26 03:21:14,False
1938,compdb should escape control characters,https://github.com/ninja-build/ninja/issues/1938,closed,[],0,[],0,0,2021-07-25 06:54:50,2021-03-25 04:22:22,False
1932,build.ninja generator not re-running when it should,https://github.com/ninja-build/ninja/issues/1932,closed,"[Label(name=""bug"")]",1,[],0,12,2021-03-24 15:22:09,2021-03-22 15:20:56,False
1931,Need Help... ,https://github.com/ninja-build/ninja/issues/1931,closed,[],0,[],0,1,2021-03-22 12:44:05,2021-03-20 21:04:22,False
1930,Download provider: 'PythonDownloadProvider' not available!,https://github.com/ninja-build/ninja/issues/1930,closed,[],0,[],0,0,2021-03-21 16:39:52,2021-03-20 15:11:17,False
1929,Ninja build issue,https://github.com/ninja-build/ninja/issues/1929,closed,"[Label(name=""windows""), Label(name=""help wanted"")]",2,[],0,15,2021-03-29 19:11:49,2021-03-16 03:10:55,False
1927,Stashing builds for pevious comand line arguments ,https://github.com/ninja-build/ninja/issues/1927,closed,[],0,[],0,1,2021-03-12 17:20:12,2021-03-12 17:09:37,False
1926,"Add an environment variable to force ""smart terminal"" newlines",https://github.com/ninja-build/ninja/issues/1926,closed,[],0,[],0,2,2021-03-12 16:08:33,2021-03-12 13:39:25,False
1923,bad $-escape (literal $ must be written as $$) ,https://github.com/ninja-build/ninja/issues/1923,closed,[],0,[],0,1,2021-03-05 21:46:17,2021-03-04 03:12:37,False
1919,ninja build v1.10.2  does not start on Windows,https://github.com/ninja-build/ninja/issues/1919,closed,[],0,[],0,1,2021-02-28 08:45:04,2021-02-27 21:54:57,False
1914,bootstrap without automatic dependency tracking?,https://github.com/ninja-build/ninja/issues/1914,closed,[],0,[],0,1,2021-02-15 01:04:49,2021-02-14 18:41:38,False
1909,Ninja build qt cause program start fail.,https://github.com/ninja-build/ninja/issues/1909,closed,[],0,[],0,6,2021-02-04 05:06:25,2021-02-03 14:07:52,False
1908,Can universal builds be created for macOS with ninja?,https://github.com/ninja-build/ninja/issues/1908,closed,[],0,[],0,1,2021-02-03 14:11:34,2021-02-03 01:57:20,False
1906,"README.me should be ""cmake -B build-cmake -H.""",https://github.com/ninja-build/ninja/issues/1906,closed,[],0,[],0,2,2021-01-28 10:09:31,2021-01-27 01:48:24,False
1902,"Completed targets do not persist their states, on Void Linux",https://github.com/ninja-build/ninja/issues/1902,closed,[],0,[],0,3,2021-01-08 16:47:32,2021-01-04 09:28:43,False
1900,Should support filename longer than 260 characters,https://github.com/ninja-build/ninja/issues/1900,open,"[Label(name=""windows"")]",1,[],0,5,,2020-12-21 06:38:14,False
1897,1.10.2 fails to build on mingw,https://github.com/ninja-build/ninja/issues/1897,open,"[Label(name=""windows"")]",1,[],0,2,,2020-12-16 16:14:00,False
1896,Custom clean command for rules,https://github.com/ninja-build/ninja/issues/1896,closed,[],0,[],0,1,2021-02-17 21:57:57,2020-12-16 12:33:11,False
1895,Dependant build not triggered until I rerun ninja a second time,https://github.com/ninja-build/ninja/issues/1895,open,[],0,[],0,1,,2020-12-12 20:42:44,False
1889,MinGW: auto bootstrap not working,https://github.com/ninja-build/ninja/issues/1889,open,[],0,[],0,0,,2020-11-30 02:13:38,False
1888,MinGW: -static flag needed in CMake like configure.py,https://github.com/ninja-build/ninja/issues/1888,closed,[],0,[],0,1,2020-12-05 22:26:21,2020-11-30 01:57:24,False
1886,ninja -t cleandead should consider not failing on failure to remove,https://github.com/ninja-build/ninja/issues/1886,closed,[],0,[],0,13,2021-02-10 07:53:16,2020-11-25 17:06:57,False
1885,More verbose expected variable name error messages,https://github.com/ninja-build/ninja/issues/1885,open,[],0,[],0,0,,2020-11-24 14:00:32,False
1883,Ninja brwosing tool's Python script needs to be updated.,https://github.com/ninja-build/ninja/issues/1883,closed,[],0,[],0,1,2020-11-22 20:59:52,2020-11-20 14:20:42,False
1882,Build fails when using case sensitive folders on Windows,https://github.com/ninja-build/ninja/issues/1882,closed,"[Label(name=""feature""), Label(name=""windows"")]",2,[],0,16,2022-01-20 09:58:48,2020-11-19 21:49:38,False
1877,Load limiting (-l) not helpful without spawn-limit,https://github.com/ninja-build/ninja/issues/1877,open,[],0,[],0,0,,2020-11-13 11:04:34,False
1875,"MSVC linker shows ""Creating library"" messages that should be suppressed",https://github.com/ninja-build/ninja/issues/1875,closed,[],0,[],0,2,2020-11-11 12:43:06,2020-11-11 09:24:30,False
1874,ninja -t browse --port=8000 --no-browser mytarget python exception,https://github.com/ninja-build/ninja/issues/1874,closed,[],0,[],0,1,2020-11-09 09:57:12,2020-11-09 01:16:48,False
1871,Use vanilla env to execute a subprocess,https://github.com/ninja-build/ninja/issues/1871,open,[],0,[],0,2,,2020-11-03 17:48:45,False
1869,Failed building wheel for ninja(PEP517),https://github.com/ninja-build/ninja/issues/1869,closed,[],0,[],0,1,2020-11-02 16:01:12,2020-11-01 13:00:47,False
1864,Ninja cant handle long filepaths,https://github.com/ninja-build/ninja/issues/1864,closed,[],0,[],0,1,2020-10-30 08:27:40,2020-10-29 07:27:05,False
1863,gn gen out/Default not working. what am I doing wrong?,https://github.com/ninja-build/ninja/issues/1863,closed,[],0,[],0,1,2020-10-30 08:28:32,2020-10-27 13:36:54,False
1861,Build fails on MinGW with -std=c++17,https://github.com/ninja-build/ninja/issues/1861,closed,[],0,[],0,3,2020-10-19 16:29:27,2020-10-19 10:08:31,False
1860,Need more information output when running ninja install,https://github.com/ninja-build/ninja/issues/1860,closed,[],0,[],0,1,2020-10-19 10:28:59,2020-10-17 11:04:42,False
1858,Extract all sources dependencies,https://github.com/ninja-build/ninja/issues/1858,closed,[],0,[],0,1,2022-02-02 18:49:51,2020-10-08 16:51:02,False
1857,Ninja doesn't remove any generated precompiled header,https://github.com/ninja-build/ninja/issues/1857,closed,[],0,[],0,4,2020-10-12 16:39:07,2020-10-07 13:12:38,False
1856,Incorrect depfile parsing of filename ending in colon ,https://github.com/ninja-build/ninja/issues/1856,open,[],0,[],0,1,,2020-10-05 19:38:44,False
1851,Ninja ver 1.9.0 win10 -f filepath access denied,https://github.com/ninja-build/ninja/issues/1851,closed,[],0,[],0,1,2020-10-02 11:22:57,2020-09-30 11:58:32,False
1850,nd_path,https://github.com/ninja-build/ninja/issues/1850,closed,[],0,[],0,0,2020-09-29 13:59:06,2020-09-28 14:58:11,False
1848,Ninja does not create depfile directories,https://github.com/ninja-build/ninja/issues/1848,open,[],0,[],0,0,,2020-09-18 20:55:39,False
1847,I designed a logo for Ninja,https://github.com/ninja-build/ninja/issues/1847,closed,[],0,[],0,3,2020-10-30 08:32:05,2020-09-16 22:26:01,False
1846,FAILED: gen/js/default_app/default_app/package.json,https://github.com/ninja-build/ninja/issues/1846,closed,[],0,[],0,1,2020-09-19 09:09:39,2020-09-15 01:42:36,False
1844,Building ninja on AIX,https://github.com/ninja-build/ninja/issues/1844,closed,[],0,[],0,3,2020-11-14 15:03:42,2020-09-09 12:14:46,False
1843,Stop rebuilding files that have a mtime newer than target,https://github.com/ninja-build/ninja/issues/1843,closed,[],0,[],0,1,2020-09-10 11:59:06,2020-09-08 15:40:40,False
1842,v1.10.1 linux binary does not support browse,https://github.com/ninja-build/ninja/issues/1842,closed,[],0,[],0,1,2020-09-07 13:50:00,2020-09-03 13:33:38,False
1841,ninja: error: build.ninja:8107: multiple rules generate lib/cmark.lib [-w dupbuild=err],https://github.com/ninja-build/ninja/issues/1841,closed,[],0,[],0,2,2020-09-03 11:21:51,2020-09-03 02:46:39,False
1840,Strange (counter-intuitive) behavior on generator=1,https://github.com/ninja-build/ninja/issues/1840,closed,[],0,[],0,2,2020-10-30 10:11:02,2020-09-02 15:43:19,False
1837,Permission denied from pip-installed ninja,https://github.com/ninja-build/ninja/issues/1837,closed,[],0,[],0,1,2020-08-31 17:22:04,2020-08-28 13:24:21,False
1835,Incorrect python path used on case-sensitive MacOS systems,https://github.com/ninja-build/ninja/issues/1835,closed,"[Label(name=""macOS"")]",1,[],0,6,2020-08-28 13:19:17,2020-08-27 14:18:51,False
1833,Missing error message on phonycycle=err (but proper warning on phonycycle=warn),https://github.com/ninja-build/ninja/issues/1833,open,"[Label(name=""bug"")]",1,[],0,0,,2020-08-26 08:39:01,False
1832,Windows defender flags ninja.exe,https://github.com/ninja-build/ninja/issues/1832,closed,"[Label(name=""windows"")]",1,[],0,3,2020-12-03 10:27:27,2020-08-25 22:54:06,False
1831,Release notes still require Google login on website,https://github.com/ninja-build/ninja/issues/1831,closed,[],0,[],0,1,2020-08-26 10:18:04,2020-08-25 19:22:15,False
1830,Release notes of v1.10.1 require Google login,https://github.com/ninja-build/ninja/issues/1830,closed,[],0,[],0,1,2020-08-25 11:39:50,2020-08-25 11:18:52,False
1829,Update the number of the latest version on homepage,https://github.com/ninja-build/ninja/issues/1829,closed,[],0,[],0,2,2020-08-24 12:23:04,2020-08-23 20:14:52,False
1828,Ninja fails when trying to compile crashpad for Android on Win64,https://github.com/ninja-build/ninja/issues/1828,closed,[],0,[],0,2,2020-08-23 20:29:40,2020-08-22 17:25:34,False
1826,Use rule variables in build statement,https://github.com/ninja-build/ninja/issues/1826,open,[],0,[],0,0,,2020-08-14 12:01:08,False
1825,DEPFILE can't handle paths with '#' characters,https://github.com/ninja-build/ninja/issues/1825,open,[],0,[],0,1,,2020-08-05 14:14:10,False
1824,support cpu limit in docker,https://github.com/ninja-build/ninja/issues/1824,open,[],0,[],0,2,,2020-08-04 03:01:15,False
1822,CMake build doesn't support the browse tool,https://github.com/ninja-build/ninja/issues/1822,closed,"[Label(name=""help wanted"")]",1,[],0,0,2020-08-28 13:11:45,2020-07-28 20:13:07,False
1821,CMake build doesn't enable the use of ppoll on platforms that support it,https://github.com/ninja-build/ninja/issues/1821,open,"[Label(name=""help wanted"")]",1,[],0,2,,2020-07-28 07:50:46,False
1820,"Providing some support on applying ionice and renice, against running compiler's instances and linker's instances",https://github.com/ninja-build/ninja/issues/1820,open,[],0,[],0,1,,2020-07-26 23:47:57,False
1819,Custom compiler question: Ninja wants an intermediate file.,https://github.com/ninja-build/ninja/issues/1819,closed,[],0,[],0,1,2020-07-27 14:55:37,2020-07-26 15:48:11,False
1817,DLL execution,https://github.com/ninja-build/ninja/issues/1817,closed,[],0,[],0,0,2020-07-20 09:21:39,2020-07-19 20:13:40,False
1814,Issue using the pip version on Apple Silicon,https://github.com/ninja-build/ninja/issues/1814,closed,[],0,[],0,3,2020-07-17 08:02:40,2020-07-16 14:59:46,False
1811,ninja deletes file for which the rule was removed,https://github.com/ninja-build/ninja/issues/1811,closed,[],0,[],0,3,2020-07-13 09:33:21,2020-07-09 08:55:48,False
1809,ninja incorrectly parses depfile generated by swiftc,https://github.com/ninja-build/ninja/issues/1809,closed,[],0,[],0,2,2020-07-02 09:15:49,2020-07-01 16:35:09,False
1808,Windows 32 bit build,https://github.com/ninja-build/ninja/issues/1808,closed,"[Label(name=""windows"")]",1,[],0,2,2020-06-30 20:13:54,2020-06-29 11:01:24,False
1806,Support new cl.exe dependency report files,https://github.com/ninja-build/ninja/issues/1806,open,"[Label(name=""windows"")]",1,[],0,9,,2020-06-24 23:19:53,False
1802,Windows: Ninja starts a dependent command before the dependency has finished.,https://github.com/ninja-build/ninja/issues/1802,closed,"[Label(name=""windows""), Label(name=""bug"")]",2,[],0,10,2020-06-24 09:50:50,2020-06-17 19:11:36,False
1799,CreateProcess: %1 is not a valid Win32 application.,https://github.com/ninja-build/ninja/issues/1799,open,"[Label(name=""windows"")]",1,[],0,3,,2020-06-10 14:40:50,False
1798,Is 'kernel' build in variable?,https://github.com/ninja-build/ninja/issues/1798,closed,[],0,[],0,1,2020-06-09 09:12:45,2020-06-09 08:51:52,False
1796,src/utils.cc Truncate function should move to disk_interface.h,https://github.com/ninja-build/ninja/issues/1796,open,[],0,[],0,0,,2020-06-07 00:54:39,False
1795,80 column character limit,https://github.com/ninja-build/ninja/issues/1795,closed,[],0,[],0,4,2020-06-07 13:36:51,2020-06-06 21:32:05,False
1794,Non-deterministic continuous integration failure,https://github.com/ninja-build/ninja/issues/1794,open,"[Label(name=""bug""), Label(name=""help wanted"")]",2,[],0,1,,2020-06-03 21:54:49,False
1781,Add explicit inline copyright and licence statements to ninja_syntax.py,https://github.com/ninja-build/ninja/issues/1781,closed,[],0,[],0,4,2020-05-25 08:58:55,2020-05-20 08:06:30,False
1779,Ninja ignores non-rule phony dependencies in some cases,https://github.com/ninja-build/ninja/issues/1779,open,"[Label(name=""bug"")]",1,[],0,1,,2020-05-17 19:11:09,False
1778,Wiki: note that older ninja cannot output colors,https://github.com/ninja-build/ninja/issues/1778,closed,[],0,[],0,4,2020-05-16 11:03:38,2020-05-16 06:49:07,False
1775,"When set compiler to /bin/clang++-10, ninja always rebuild target that has no change",https://github.com/ninja-build/ninja/issues/1775,closed,"[Label(name=""bug"")]",1,[],0,7,2020-05-15 10:59:35,2020-05-07 22:44:37,False
1773,Ninja deps fails to handle files ending with . or whitespace.,https://github.com/ninja-build/ninja/issues/1773,open,"[Label(name=""bug"")]",1,[],0,0,,2020-05-07 12:55:42,False
1772,v1.10.0 - ./ninja rpm: Broke,https://github.com/ninja-build/ninja/issues/1772,closed,[],0,[],0,1,2020-05-08 16:18:37,2020-05-07 00:25:11,False
1766,cl.exe dependency tracking breaks with international languages,https://github.com/ninja-build/ninja/issues/1766,open,"[Label(name=""windows""), Label(name=""bug"")]",2,[],0,0,,2020-04-18 00:36:52,False
1764,ninja v1.10.0 fails to run on macOS 10.12,https://github.com/ninja-build/ninja/issues/1764,closed,"[Label(name=""bug""), Label(name=""macOS"")]",2,[],0,0,2020-04-18 08:45:41,2020-04-18 00:31:24,False
1762,stack-buffer-overflow is flagged in ninja_test ,https://github.com/ninja-build/ninja/issues/1762,closed,"[Label(name=""bug"")]",1,[],0,0,2020-04-15 07:10:49,2020-04-15 01:29:06,False
1761,Any way to ask ninja to prioritise a file in compile order?,https://github.com/ninja-build/ninja/issues/1761,closed,[],0,[],0,4,2020-04-15 07:13:25,2020-04-13 17:51:06,False
1760,"""ninja -t commands"" doesn't produces commands for rsp files",https://github.com/ninja-build/ninja/issues/1760,open,"[Label(name=""windows""), Label(name=""bug"")]",2,[],0,2,,2020-03-31 12:45:00,False
1758,Aseprite installation Error: Loading 'build.ninja': No such file or directory,https://github.com/ninja-build/ninja/issues/1758,closed,[],0,[],0,4,2020-03-30 09:44:53,2020-03-30 00:39:48,False
1757,Unable to linking during compilation.,https://github.com/ninja-build/ninja/issues/1757,closed,"[Label(name=""windows""), Label(name=""bug"")]",2,[],0,2,2020-03-30 10:44:29,2020-03-28 13:37:17,False
1755,Does ninja support remote execution?,https://github.com/ninja-build/ninja/issues/1755,closed,[],0,[],0,3,2020-03-25 15:08:29,2020-03-20 02:56:52,False
1754,Missing release 1.10 on pypi,https://github.com/ninja-build/ninja/issues/1754,closed,[],0,[],0,2,2020-03-25 15:10:08,2020-03-18 15:31:53,False
1752,Ninja hanging,https://github.com/ninja-build/ninja/issues/1752,closed,[],0,[],0,3,2020-03-17 08:05:33,2020-03-15 20:27:31,False
1751,Executable isn't running on Elementary OS,https://github.com/ninja-build/ninja/issues/1751,closed,[],0,[],0,1,2020-03-09 15:49:26,2020-03-08 13:21:59,False
1750,Ninja fails non-deterministically if `/dev/null` is not available,https://github.com/ninja-build/ninja/issues/1750,open,[],0,[],0,2,,2020-03-06 18:36:01,False
1749," Ninja uses on PowerPC Mac OS X 10.4.11, Tiger, ""-rpath"" as loader switch although not supported",https://github.com/ninja-build/ninja/issues/1749,closed,[],0,[],0,1,2020-03-09 15:51:02,2020-03-05 21:11:51,False
1747,ninja: error:  unknown target 'all',https://github.com/ninja-build/ninja/issues/1747,closed,[],0,[],0,2,2020-03-03 10:12:22,2020-02-27 16:19:15,False
1741, `cgi.escape` is deprecated and removed in Python 3.8 ,https://github.com/ninja-build/ninja/issues/1741,closed,[],0,[],0,0,2020-02-20 10:08:20,2020-02-17 16:08:24,False
1740,Targets compiled repeatedly on NTFS share,https://github.com/ninja-build/ninja/issues/1740,open,[],0,[],0,2,,2020-02-17 16:08:01,False
1739,Pull GN in to the ninja-build project,https://github.com/ninja-build/ninja/issues/1739,closed,[],0,[],0,4,2020-02-20 11:15:47,2020-02-11 07:44:59,False
1736,cgi.escape was removed in Python 3.8 in favor of html.escape,https://github.com/ninja-build/ninja/issues/1736,closed,[],0,[],0,0,2020-02-20 10:08:20,2020-02-08 06:21:59,False
1735,Treating backslashes as path separator on unix,https://github.com/ninja-build/ninja/issues/1735,open,[],0,[],0,8,,2020-02-07 09:43:39,False
1733,"Add a performance test script / ""performance regression tests""",https://github.com/ninja-build/ninja/issues/1733,open,"[Label(name=""help wanted"")]",1,[],0,4,,2020-02-06 12:56:37,False
1732,choking on lots of short paths (ninja: fatal: path has too many components),https://github.com/ninja-build/ninja/issues/1732,open,"[Label(name=""windows""), Label(name=""help wanted"")]",2,[],0,3,,2020-02-05 18:13:56,False
1728,"Please upload a ""release"" source tarball",https://github.com/ninja-build/ninja/issues/1728,open,[],0,[],0,9,,2020-01-31 13:18:59,False
1724,Log files held open when re-generating build manifest,https://github.com/ninja-build/ninja/issues/1724,closed,"[Label(name=""windows"")]",1,[],0,3,2020-11-02 16:02:43,2020-01-28 14:54:28,False
1723,"Can't build, re2c -V option not valid",https://github.com/ninja-build/ninja/issues/1723,closed,[],0,[],0,1,2020-01-27 15:53:19,2020-01-27 15:05:11,False
1722,segfault reading DepsLog,https://github.com/ninja-build/ninja/issues/1722,open,"[Label(name=""bug"")]",1,[],0,2,,2020-01-23 02:42:41,False
1718,Ninja unnecessarily runs gn just after it was run manually,https://github.com/ninja-build/ninja/issues/1718,closed,[],0,[],0,11,2020-01-16 22:58:24,2020-01-08 20:11:48,False
1716,Add doc for cleandead tool,https://github.com/ninja-build/ninja/issues/1716,closed,"[Label(name=""help wanted"")]",1,[],0,0,2020-01-18 12:08:28,2020-01-05 00:21:23,False
1715,ninja: error: loading 'build.ninja': Le fichier spÚcifiÚ est introuvable.,https://github.com/ninja-build/ninja/issues/1715,closed,[],0,[],0,1,2020-01-01 22:22:29,2020-01-01 22:01:21,False
1714,How to uninstall a package installed with sudo ninja install? ,https://github.com/ninja-build/ninja/issues/1714,closed,[],0,[],0,3,2019-12-25 14:24:54,2019-12-25 12:17:48,False
1709,Add comparisons with other build systems,https://github.com/ninja-build/ninja/issues/1709,open,[],0,[],0,16,,2019-12-17 08:00:26,False
1708,"Build performance tests with CMake, too",https://github.com/ninja-build/ninja/issues/1708,closed,"[Label(name=""help wanted"")]",1,[],0,0,2020-01-08 10:53:43,2019-12-16 08:42:51,False
1706,Better interactivity in low-memory situations on Linux desktop,https://github.com/ninja-build/ninja/issues/1706,open,[],0,[],0,4,,2019-12-07 17:16:37,False
1704,"Dates in the future cause ""ninja: error: manifest 'build.ninja' still dirty after 100 tries""",https://github.com/ninja-build/ninja/issues/1704,open,"[Label(name=""bug"")]",1,[],0,3,,2019-12-04 17:10:57,False
1703,"CMake, re2c only runs at cmake configuration time",https://github.com/ninja-build/ninja/issues/1703,closed,[],0,[],0,9,2020-01-08 11:46:33,2019-12-03 18:53:27,False
1695,Github MacOS Release blocked by Gatekeeper on Catalina,https://github.com/ninja-build/ninja/issues/1695,open,"[Label(name=""macOS""), Label(name=""help wanted"")]",2,[],0,7,,2019-12-01 09:55:09,False
1694,[QUESTION] How to specifiy CUDA version using Ninja on Windows,https://github.com/ninja-build/ninja/issues/1694,closed,[],0,[],0,1,2019-11-29 09:57:49,2019-11-29 09:44:44,False
1692,GitHub Actions: Statically link Visual C++ runtime,https://github.com/ninja-build/ninja/issues/1692,closed,"[Label(name=""windows""), Label(name=""help wanted"")]",2,[],0,9,2020-01-18 11:53:31,2019-11-25 14:52:31,False
1691,Please release a new ninja version,https://github.com/ninja-build/ninja/issues/1691,closed,[],0,[],0,1,2019-11-24 10:52:44,2019-11-23 14:53:39,False
1690,ninja -t clean fails on built directory,https://github.com/ninja-build/ninja/issues/1690,open,[],0,[],0,3,,2019-11-22 19:08:28,False
1688,Suggestion for generalising $in separators,https://github.com/ninja-build/ninja/issues/1688,open,[],0,[],0,0,,2019-11-19 11:30:38,False
1684,ninja cannot be built with uClibc++,https://github.com/ninja-build/ninja/issues/1684,closed,[],0,[],0,7,2020-01-18 17:05:40,2019-11-16 03:55:04,False
1682,Support quite rules,https://github.com/ninja-build/ninja/issues/1682,open,[],0,[],0,1,,2019-11-14 16:13:09,False
1677,PR requested: boost::numeric_cast<> type function,https://github.com/ninja-build/ninja/issues/1677,closed,[],0,[],0,1,2019-11-13 21:21:40,2019-11-13 21:17:45,False
1676,"Please create a ""PRs welcome"" label for the github issues list.",https://github.com/ninja-build/ninja/issues/1676,closed,[],0,[],0,7,2019-11-21 14:44:20,2019-11-13 21:17:03,False
1675,Infinite loop while compiling,https://github.com/ninja-build/ninja/issues/1675,open,"[Label(name=""macOS"")]",1,[],0,3,,2019-11-13 18:15:48,False
1673,Pick up CMake flag VS_DPI_AWARE when building windows application,https://github.com/ninja-build/ninja/issues/1673,closed,[],0,[],0,3,2019-11-12 13:28:36,2019-11-11 20:51:21,False
1669,File dependency not detected when French language is used.,https://github.com/ninja-build/ninja/issues/1669,open,"[Label(name=""windows""), Label(name=""bug"")]",2,[],0,1,,2019-11-06 15:49:16,False
1668,deleting depfile: Permission denied,https://github.com/ninja-build/ninja/issues/1668,open,"[Label(name=""windows"")]",1,[],0,4,,2019-11-04 17:06:47,False
1667,Failed compilations are not logged,https://github.com/ninja-build/ninja/issues/1667,closed,[],0,[],0,1,2020-07-20 09:34:22,2019-11-04 14:28:52,False
1661,Quotes are not always return to orders,https://github.com/ninja-build/ninja/issues/1661,open,[],0,[],0,0,,2019-10-23 14:36:03,False
1660,Method for detecting missing dependency graph edges,https://github.com/ninja-build/ninja/issues/1660,open,[],0,[],0,5,,2019-10-18 12:16:48,False
1659,Any plans to make new release?,https://github.com/ninja-build/ninja/issues/1659,closed,[],0,[],0,7,2019-10-13 18:41:59,2019-10-13 15:25:44,False
1658,Update 'ninja_syntax' on pypi,https://github.com/ninja-build/ninja/issues/1658,closed,[],0,[],0,1,2019-10-11 16:22:50,2019-10-11 15:46:40,False
1657,ninja: build stopped: subcommand failed.,https://github.com/ninja-build/ninja/issues/1657,closed,[],0,[],0,1,2019-10-01 09:08:02,2019-10-01 06:14:51,False
1656,question#how can i set ninja args to ignore  warns ?,https://github.com/ninja-build/ninja/issues/1656,closed,[],0,[],0,1,2019-09-30 12:43:39,2019-09-30 08:47:15,False
1655,doc/manual.asciidoc : move some bullet points out of the comparison with make,https://github.com/ninja-build/ninja/issues/1655,closed,[],0,[],0,7,2019-11-21 14:45:25,2019-09-29 12:03:51,False
1653,Configure.py fails,https://github.com/ninja-build/ninja/issues/1653,closed,[],0,[],0,4,2019-09-22 22:38:30,2019-09-22 07:56:01,False
1652,pip3 install ninja - ERROR: Failed building wheel for ninja,https://github.com/ninja-build/ninja/issues/1652,closed,[],0,[],0,2,2019-09-21 14:02:47,2019-09-21 12:00:20,False
1648,Unknown architecture (aarch64) -- unable to run ninja.,https://github.com/ninja-build/ninja/issues/1648,closed,[],0,[],0,4,2019-11-21 14:45:57,2019-09-19 09:30:00,False
1646,Permission denied on windows ,https://github.com/ninja-build/ninja/issues/1646,open,"[Label(name=""windows""), Label(name=""bug"")]",2,[],0,11,,2019-09-06 11:57:34,False
1645,"Please delete, opened in wrong repo.",https://github.com/ninja-build/ninja/issues/1645,closed,[],0,[],0,0,2019-09-05 16:36:39,2019-09-05 16:22:35,False
1643,warnings on mingw build,https://github.com/ninja-build/ninja/issues/1643,closed,"[Label(name=""windows""), Label(name=""cleanup"")]",2,[],0,0,2019-11-24 12:14:09,2019-08-30 20:39:49,False
1642,misc/output_test.py fails on a Windows build environment.,https://github.com/ninja-build/ninja/issues/1642,open,"[Label(name=""windows"")]",1,[],0,0,,2019-08-30 20:37:14,False
1641,Ignore depfile referenced from the depfile itself,https://github.com/ninja-build/ninja/issues/1641,open,[],0,[],0,0,,2019-08-30 18:53:02,False
1640,Breaking lines at 512 chars can cause build to fail,https://github.com/ninja-build/ninja/issues/1640,closed,"[Label(name=""bug"")]",1,[],0,1,2020-01-24 15:27:45,2019-08-26 08:05:12,False
1638,Ninja should have a way to trigger compiles through IPC instead of CreateProcess,https://github.com/ninja-build/ninja/issues/1638,closed,[],0,[],0,6,2019-08-25 17:54:22,2019-08-23 17:46:56,False
1635,"Make `-d keepdepfile` work with msvc, too (and document that it's gcc-only, for now)",https://github.com/ninja-build/ninja/issues/1635,open,"[Label(name=""feature""), Label(name=""windows"")]",2,[],0,0,,2019-08-18 14:01:49,False
1633,ninja: error: loading 'build.ninja': No such file or directory,https://github.com/ninja-build/ninja/issues/1633,closed,[],0,[],0,2,2019-08-16 12:47:19,2019-08-14 15:44:38,False
1632,"At least on windows, configure.py --boostrap fails unless python is in the path",https://github.com/ninja-build/ninja/issues/1632,closed,"[Label(name=""windows"")]",1,[],0,3,2019-08-30 12:01:52,2019-08-13 00:36:18,False
1625,"ninja wrongly copies selinux attributes from build-dir to install location on ""ninja install""",https://github.com/ninja-build/ninja/issues/1625,closed,[],0,[],0,2,2019-08-07 13:14:59,2019-08-07 13:01:16,False
1623,test failure: SubprocessTest.InterruptChild on AIX 6.1,https://github.com/ninja-build/ninja/issues/1623,closed,[],0,[],0,1,2020-11-02 16:03:00,2019-08-06 17:31:36,False
1618,build failure on AIX 6.1,https://github.com/ninja-build/ninja/issues/1618,closed,[],0,[],0,5,2019-08-06 13:29:27,2019-08-05 20:09:11,False
1617,v1.9.0 doesn't support for old version Linux.,https://github.com/ninja-build/ninja/issues/1617,closed,[],0,[],0,1,2019-08-04 08:43:35,2019-08-04 08:42:54,False
1613,Towards enabling ninja to be built as a library,https://github.com/ninja-build/ninja/issues/1613,closed,[],0,[],0,1,2019-08-04 09:59:32,2019-08-02 19:30:57,False
1611,AppVeyor continuous integration is failing since PR ninja-build#1016,https://github.com/ninja-build/ninja/issues/1611,closed,[],0,[],0,4,2019-08-06 07:58:52,2019-08-02 19:00:27,False
1610,add support for loading environment variables globally,https://github.com/ninja-build/ninja/issues/1610,open,[],0,[],0,0,,2019-07-31 13:18:14,False
1608,Install Via pip Fails Due to Dependency scikit-build,https://github.com/ninja-build/ninja/issues/1608,closed,[],0,[],0,2,2019-08-06 13:27:55,2019-07-24 05:14:47,False
1607,Add an option to print all phony targets,https://github.com/ninja-build/ninja/issues/1607,open,[],0,[],0,0,,2019-07-22 20:10:24,False
1606,special character in file/folder name,https://github.com/ninja-build/ninja/issues/1606,open,[],0,[],0,2,,2019-07-21 16:52:23,False
1605,Start Win32 GUI app in ninja without waiting,https://github.com/ninja-build/ninja/issues/1605,closed,"[Label(name=""windows"")]",1,[],0,2,2019-08-30 12:05:10,2019-07-20 18:40:30,False
1603,ninja not making use of more than 64 CPUs,https://github.com/ninja-build/ninja/issues/1603,closed,"[Label(name=""windows"")]",1,[],0,0,2019-08-08 09:52:20,2019-07-17 20:40:41,False
